SkillLevelId	Name	Title	SpecificDesLite	UiType
10452101	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452102	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452103	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452104	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452105	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452106	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452107	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452108	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452109	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452110	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452111	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452112	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
