Key	Type	Value
DynamicShowRange	int	30
DynamicHideRange	int	33
DynamicLoadRange	int	35
DynamicUnloadRange	int	50
DynamicShowRangePC	int	64
DynamicHideRangePC	int	80
DynamicLoadRangePC	int	96
DynamicUnloadRangePC	int	120
DynamicShowRangeFightNpc	int	60
DynamicHideRangeFightNpc	int	63
DynamicLoadRangeFightNpc	int	65
DynamicUnloadRangeFightNpc	int	80
DynamicShowRangeFightNpcPC	int	94
DynamicHideRangeFightNpcPC	int	110
DynamicLoadRangeFightNpcPC	int	126
DynamicUnloadRangeFightNpcPC	int	150
DynamicUpperRangeNpc	int	3
DynamicLowerRangeNpc	int	20
DynamicUpperRangeNpcPC	int	3
DynamicLowerRangeNpcPC	int	10
DynamicShowRangeScene	int	140
DynamicHideRangeScene	int	146
DynamicLoadRangeScene	int	150
DynamicUnloadRangeScene	int	160
DynamicShowRangeScenePC	int	200
DynamicHideRangeScenePC	int	210
DynamicLoadRangeScenePC	int	220
DynamicUnloadRangeScenePC	int	230
MaxShowNpcCount	int	8
MaxShowNpcCountPC	int	20
MaxShowLevel	int	8
MaxShowLevelPC	int	8
MobileLodBias	float	1
