Id	Name	Path	EntityId
9240725	Main_L0_X149_Y141		1
9306261	Main_L0_X149_Y142		2
9306260	Main_L0_X148_Y142		3
9306262	Main_L0_X150_Y142		4
9240723	Main_L0_X147_Y141		5
9240726	Main_L0_X150_Y141		6
9240727	Main_L0_X151_Y141		7
9306263	Main_L0_X151_Y142		8
9371798	Main_L0_X150_Y143		9
9371797	Main_L0_X149_Y143		10
9371799	Main_L0_X151_Y143		11
9371796	Main_L0_X148_Y143		12
9175189	Main_L0_X149_Y140		13
9175188	Main_L0_X148_Y140		14
9240724	Main_L0_X148_Y141		15
9175190	Main_L0_X150_Y140		16
9175187	Main_L0_X147_Y140		17
9306259	Main_L0_X147_Y142		18
9306264	Main_L0_X152_Y142		19
9371800	Main_L0_X152_Y143		20
9371801	Main_L0_X153_Y143		21
9306265	Main_L0_X153_Y142		22
9240729	Main_L0_X153_Y141		23
9306266	Main_L0_X154_Y142		24
9240730	Main_L0_X154_Y141		25
9240728	Main_L0_X152_Y141		26
8781964	Main_L0_X140_Y134		27
9109656	Main_L0_X152_Y139		28
9109657	Main_L0_X153_Y139		29
9175192	Main_L0_X152_Y140		30
9175193	Main_L0_X153_Y140		31
9109655	Main_L0_X151_Y139		32
9175191	Main_L0_X151_Y140		33
8388759	Main_L0_X151_Y128		34
9109654	Main_L0_X150_Y139		35
8847509	Main_L0_X149_Y135		36
8781974	Main_L0_X150_Y134		37
8585355	Main_L0_X139_Y131		38
8716438	Main_L0_X150_Y133		39
8913046	Main_L0_X150_Y136		40
8978582	Main_L0_X150_Y137		41
8978581	Main_L0_X149_Y137		42
8847510	Main_L0_X150_Y135		43
8913045	Main_L0_X149_Y136		44
8781973	Main_L0_X149_Y134		45
9044118	Main_L0_X150_Y138		46
9044117	Main_L0_X149_Y138		47
9109653	Main_L0_X149_Y139		48
8913047	Main_L0_X151_Y136		49
8913044	Main_L0_X148_Y136		50
8716437	Main_L0_X149_Y133		51
8847511	Main_L0_X151_Y135		52
8650902	Main_L0_X150_Y132		53
34359738368	Main_L8_X0_Y0		54
