Id	Name	DifficultyGroupId	Difficulty	NPCId	MonsterAtk	MonsterHp	MonsterEndure	SelectableCharacterGroupId	TaskGroupId	TrialCharacterGroupId	CharacterMaximumNum	FightEventIdList	StageDescId
1	简单	1001	1	82300	1383	5000000			1005	4	3	[2330001]	1
2	困难	1001	2	82300	1844	8000000		4	1006	4	3	[2330002]	1
3	噩梦	1001	3	82300	8500	4150000		5	1007	5	1	[2330003, 2330006]	1
4	炼狱	1001	4	82300	17500	4250000		6	1008	6	1	[2330005, 2330007]	1
5	简单	1002	1	87650	1383	7500000			1001	1	3	[2330001]	2
6	困难	1002	2	87650	1844	10000000		1	1002	1	3	[2330002]	2
7	噩梦	1002	3	87650	4000	5840000		2	1003	2	1	[2330003, 2330006]	2
8	炼狱	1002	4	87650	8000	5840000		3	1004	3	1	[2330005, 2330007]	2
9	简单	1003	1	87752	1383	3500000			1013	10	3	[2330001]	3
10	困难	1003	2	87752	1844	5500000		10	1014	10	3	[2330002]	3
11	噩梦	1003	3	87752	3000	4500000		11	1015	11	1	[2330003, 2330006]	3
12	炼狱	1003	4	87752	10000	2000000		12	1016	12	2	[2330005, 2330007]	3
13	简单	1004	1	87691	1383	7020000			1009	7	3	[2330001]	4
14	困难	1004	2	87691	1844	3766000		7	1010	7	3	[2330002]	4
15	噩梦	1004	3	87691	6500	2205000		8	1011	8	1	[2330003, 2330006]	4
16	炼狱	1004	4	87691	25000	2625000		9	1012	9	1	[2330005, 2330007]	4
