Id	Type	Title	InputMapId	DefaultKeyMapIds	KeySetTypes	IsMutexIgnoreInputMapSectionId
1	4	AB按键互换	4	[48, 38]		
2	1	移动设置	1			
3	2	角色移动：前	1	[19]		
4	2	角色移动：后	1	[20]		
5	2	角色移动：左	1	[21]		
6	2	角色移动：右	1	[22]		
7	1	镜头设置	1			
8	3	视角灵敏度	1			
9	2	镜头移动：上	1	[23]		
10	2	镜头移动：下	1	[24]		
11	2	镜头移动：左	1	[25]		
12	2	镜头移动：右	1	[26]		
13	2	恢复默认视角	1	[30]		
14	2	切换镜头控制方式	1	[31]	[3]	
15	1	战斗设置	1			
16	2	攻击	1	[9]		
17	2	闪避	1	[10]		
18	2	攻击连发	1	[27]		
19	2	必杀技	1	[11]		
20	2	更换角色1(QTE1)	1	[13]		
21	2	更换角色2(QTE2)	1	[14]		
22	2	辅助机技能	1	[15]		
23	2	锁定	1	[28]		
24	2	取消锁定	1	[29]		
25	1	技能球设置	1			
26	2	技能球1	1	[1]		
27	2	技能球2	1	[2]		
28	2	技能球3	1	[3]		
29	2	技能球4	1	[4]		
30	2	技能球5	1	[5]		
31	2	技能球6	1	[6]		
32	2	技能球7	1	[7]		
33	2	技能球8	1	[8]		
34	1	其它设置	1			
35	2	交互	1	[12]		
36	2	切换选项：上	1	[99]	[1, 2]	
37	2	切换选项：下	1	[100]	[1, 2]	
38	2	战中剧情-继续	1	[16]		
39	2	能量槽/战中剧情-跳过	1	[17, 104]		True
40	2	战斗演出-跳过	1	[18]		
41	2	战中暂停	1	[32]		
42	2	特殊互动1	1	[61]		
43	2	特殊互动2	1	[62]		
44	2	特殊互动3	1	[63]		
45	2	特殊互动4	1	[64]		
46	2	特殊互动5	1	[65]		
47	2	特殊互动6	1	[66]		
48	1	特殊玩法设置	2			
49	2	按键1	2	[54]		
50	2	按键2	2	[55]		
51	2	按键3	2	[56]		
52	2	按键4	2	[57]		
53	2	按键5	2	[58]		
54	2	按键6	2	[59]		
55	1	视频设置	3			
56	2	暂停/继续	3	[67]		
57	2	跳过	3	[68]		
58	1	剧情设置	4			
59	2	剧情自动	4	[35]		
60	2	剧情跳过	4	[36]		
61	2	剧情Next	4	[37]	[3]	
62	1	界面设置	4			
63	2	剧情-剧情回顾/其它-重新开始	4	[34]		
64	2	返回上一级	4	[33]		
65	2	确定	4	[39]		
66	2	取消	4	[38]		
67	2	返回主界面	4	[40]		
68	2	聊天	4	[41]	[3]	
69	1	虚拟光标设置（仅在官方模拟器生效）	4		[1, 2]	
70	3	虚拟光标灵敏度	4		[1, 2]	
71	2	光标移动：上	4	[42]	[1, 2]	
72	2	光标移动：下	4	[43]	[1, 2]	
73	2	光标移动：左	4	[44]	[1, 2]	
74	2	光标移动：右	4	[45]	[1, 2]	
75	2	界面滚动: 上/右	4	[46]	[1, 2]	
76	2	界面滚动：下/左	4	[47]	[1, 2]	
77	2	光标点击	4	[48]	[1, 2]	
78	1	公会大厅	4			
79	2	角色移动：前	4	[50]		
80	2	角色移动：后	4	[51]		
81	2	角色移动：左	4	[52]		
82	2	角色移动：右	4	[53]		
83	2	喵星淘金出钩	5	[69]		
84	2	喵星淘金飞机左移	5	[70]		
85	2	喵星淘金飞机右移	5	[71]		
86	2	喵星淘金道具快捷键1	5	[72]		
87	2	喵星淘金道具快捷键2	5	[73]		
88	2	喵星淘金道具快捷键3	5	[74]		
89	2	喵星淘金暂停	5	[75]		
90	1	舞动绮音	6			
91	2	蹲下按钮	6	[77]		
92	2	跳跃按钮	6	[78]		
93	2	转圈按钮	6	[79]		
94	2	普攻	7	[80]		
95	2	技能1	7	[81]		
96	2	技能2	7	[82]		
97	2	技能3	7	[83]		
98	2	角色切换	7	[84]		
99	2	回合结束	7	[85]		
100	2	确认攻击	7	[86]		
101	2	取消攻击	7	[87]		
102	2	镜头平移	7	[88]		
103	2	镜头平移	7	[89]		
104	2	镜头平移	7	[90]		
105	2	镜头平移	7	[91]		
106	2	视图切换	7	[92]		
107	2	悔棋	7	[95]		
108	2	战中剧情-继续	6	[97]		
109	2	战中剧情-跳过	6	[98]		
110	1	移动设置	8			
111	2	角色移动：前	8	[8001]		
112	2	角色移动：后	8	[8002]		
113	2	角色移动：左	8	[8003]		
114	2	角色移动：右	8	[8004]		
115	1	镜头设置	8			
116	2	镜头移动：上	8	[8005]		
117	2	镜头移动：下	8	[8006]		
118	2	镜头移动：左	8	[8007]		
119	2	镜头移动：右	8	[8008]		
120	2	切换镜头控制方式	8	[8009]	[3]	
121	1	战斗设置	8			
122	2	攻击	8	[8010]		
123	2	闪避	8	[8011]		
124	2	跳跃	8	[8012]		
125	2	猎矛	8	[8013]		
